condition,group,name,num_samples,accuracy,split,seed,use_hf
original,overall,overall,1061,0.44015080113100846,test,42,True
original,answer_type,closed,416,0.6682692307692307,test,42,True
original,answer_type,open,645,0.2930232558139535,test,42,True
original,q_type,Abnormality,150,0.48,test,42,True
original,q_type,Color,34,0.5882352941176471,test,42,True
original,q_type,KG,148,0.25,test,42,True
original,q_type,Modality,108,0.7592592592592593,test,42,True
original,q_type,Organ,253,0.5810276679841897,test,42,True
original,q_type,Plane,58,0.3793103448275862,test,42,True
original,q_type,Position,186,0.34946236559139787,test,42,True
original,q_type,Quantity,52,0.0,test,42,True
original,q_type,Shape,7,0.14285714285714285,test,42,True
original,q_type,Size,65,0.3230769230769231,test,42,True
black,overall,overall,1061,0.21866163996229973,test,42,True
black,answer_type,closed,416,0.43990384615384615,test,42,True
black,answer_type,open,645,0.07596899224806201,test,42,True
black,q_type,Abnormality,150,0.32666666666666666,test,42,True
black,q_type,Color,34,0.23529411764705882,test,42,True
black,q_type,KG,148,0.22972972972972974,test,42,True
black,q_type,Modality,108,0.2777777777777778,test,42,True
black,q_type,Organ,253,0.3201581027667984,test,42,True
black,q_type,Plane,58,0.29310344827586204,test,42,True
black,q_type,Position,186,0.03763440860215054,test,42,True
black,q_type,Quantity,52,0.11538461538461539,test,42,True
black,q_type,Shape,7,0.0,test,42,True
black,q_type,Size,65,0.0,test,42,True
lpf,overall,overall,1061,0.43355325164938735,test,42,True
lpf,answer_type,closed,416,0.6730769230769231,test,42,True
lpf,answer_type,open,645,0.27906976744186046,test,42,True
lpf,q_type,Abnormality,150,0.4666666666666667,test,42,True
lpf,q_type,Color,34,0.5294117647058824,test,42,True
lpf,q_type,KG,148,0.23648648648648649,test,42,True
lpf,q_type,Modality,108,0.7314814814814815,test,42,True
lpf,q_type,Organ,253,0.5731225296442688,test,42,True
lpf,q_type,Plane,58,0.43103448275862066,test,42,True
lpf,q_type,Position,186,0.3548387096774194,test,42,True
lpf,q_type,Quantity,52,0.0,test,42,True
lpf,q_type,Shape,7,0.2857142857142857,test,42,True
lpf,q_type,Size,65,0.3076923076923077,test,42,True
hpf,overall,overall,1061,0.3939679547596607,test,42,True
hpf,answer_type,closed,416,0.625,test,42,True
hpf,answer_type,open,645,0.24496124031007752,test,42,True
hpf,q_type,Abnormality,150,0.42,test,42,True
hpf,q_type,Color,34,0.17647058823529413,test,42,True
hpf,q_type,KG,148,0.25675675675675674,test,42,True
hpf,q_type,Modality,108,0.6759259259259259,test,42,True
hpf,q_type,Organ,253,0.525691699604743,test,42,True
hpf,q_type,Plane,58,0.41379310344827586,test,42,True
hpf,q_type,Position,186,0.3172043010752688,test,42,True
hpf,q_type,Quantity,52,0.019230769230769232,test,42,True
hpf,q_type,Shape,7,0.2857142857142857,test,42,True
hpf,q_type,Size,65,0.2923076923076923,test,42,True
patch_shuffle,overall,overall,1061,0.22620169651272384,test,42,True
patch_shuffle,answer_type,closed,416,0.4831730769230769,test,42,True
patch_shuffle,answer_type,open,645,0.06046511627906977,test,42,True
patch_shuffle,q_type,Abnormality,150,0.4266666666666667,test,42,True
patch_shuffle,q_type,Color,34,0.058823529411764705,test,42,True
patch_shuffle,q_type,KG,148,0.20270270270270271,test,42,True
patch_shuffle,q_type,Modality,108,0.25925925925925924,test,42,True
patch_shuffle,q_type,Organ,253,0.31225296442687744,test,42,True
patch_shuffle,q_type,Plane,58,0.29310344827586204,test,42,True
patch_shuffle,q_type,Position,186,0.05913978494623656,test,42,True
patch_shuffle,q_type,Quantity,52,0.1346153846153846,test,42,True
patch_shuffle,q_type,Shape,7,0.2857142857142857,test,42,True
patch_shuffle,q_type,Size,65,0.0,test,42,True
